Trial Number,Situation,Context,Narrative,isText,condition_name,stimulus_filename,Duration,Run Number,ISI
1,Supplication,hospital,1,1,narratives,Narrative1Situation1.txt_def.txt,10,1,3
2,Madness,hospital,1,1,narratives,Narrative1Situation2.txt_def.txt,14,1,2
3,Murderous adultury,hospital,1,1,narratives,Narrative1Situation3.txt_def.txt,21,1,1
4,Recovery of a lost one,town,1,1,narratives,Narrative1Situation4.txt_def.txt,18,1,3
5,Slaying of kin unrecognized,town,1,1,narratives,Narrative1Situation5.txt_def.txt,11,1,3
6,An enemy loved,town,1,1,narratives,Narrative1Situation6.txt_def.txt,25,1,1
7,Fatal imprudence,prison,1,1,narratives,Narrative1Situation7.txt_def.txt,22,1,3
8,Discovery of dishonour of loved one,prison,1,1,narratives,Narrative1Situation8.txt_def.txt,12,1,1
9,Abduction,prison,1,1,narratives,Narrative1Situation9.txt_def.txt,29,1,8
10,An enemy loved,forest,2,1,narratives,Narrative2Situation1.txt_def.txt,22,1,9
11,Enmity of kin,forest,2,1,narratives,Narrative2Situation2.txt_def.txt,36,1,2
12,Necessity of sacrificing loved ones,forest,2,1,narratives,Narrative2Situation3.txt_def.txt,9,1,4
13,Murderous adultury,town,2,1,narratives,Narrative2Situation4.txt_def.txt,18,1,3
14,Daring Enterprise,town,2,1,narratives,Narrative2Situation5.txt_def.txt,17,1,3
15,Ambition,town,2,1,narratives,Narrative2Situation6.txt_def.txt,6,1,2
16,Mistaken jealousy,hospital,2,1,narratives,Narrative2Situation7.txt_def.txt,19,1,1
17,Discovery of dishonour of loved one,hospital,2,1,narratives,Narrative2Situation8.txt_def.txt,18,1,3
18,Self-sacrifice for an ideal,hospital,2,1,narratives,Narrative2Situation9.txt_def.txt,15,1,3
19,Slaying of kin unrecognized,town,3,1,narratives,Narrative3Situation1.txt_def.txt,32,2,6
20,Erroneous judgement,town,3,1,narratives,Narrative3Situation2.txt_def.txt,17,2,4
21,Revolt,town,3,1,narratives,Narrative3Situation3.txt_def.txt,10,2,2
22,The enigma,city,3,1,narratives,Narrative3Situation4.txt_def.txt,28,2,1
23,Deliverance,city,3,1,narratives,Narrative3Situation5.txt_def.txt,15,2,3
24,Remorse,city,3,1,narratives,Narrative3Situation6.txt_def.txt,15,2,3
25,Loss of loved one,forest,3,1,narratives,Narrative3Situation7.txt_def.txt,37,2,4
26,All sacrificed for passion,forest,3,1,narratives,Narrative3Situation8.txt_def.txt,10,2,2
27,Discovery of dishonour of loved one,forest,3,1,narratives,Narrative3Situation9.txt_def.txt,27,2,1
28,Conflict with a god,swamp,4,1,narratives,Narrative4Situation1.txt_def.txt,22,2,2
29,Adultery,swamp,4,1,narratives,Narrative4Situation2.txt_def.txt,25,2,5
